Scan,DL Bat. V,DC Volts(EB),DC Amps(EB),DC Watts(EB),DC Wh(EB),DC Volts(ET),DC Amps(ET),DC Watts(ET),DC Wh(ET),DC Volts(PT),DC Amps(PT),DC Watts(PT),DC Wh(PT)
Feb 28 2016  3:55AM,11.854,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:56AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:57AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:58AM,11.853,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  3:59AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:00AM,11.851,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:01AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:02AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:03AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:04AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:05AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:06AM,11.845,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:07AM,11.85,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:08AM,11.848,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:09AM,11.85,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:10AM,11.842,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:11AM,11.849,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:12AM,11.852,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:13AM,11.842,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:14AM,11.844,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:15AM,11.846,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
Feb 28 2016  4:16AM,11.85,0,0,0,2437.579,0,0,0,2401.831,0,0,0,1403.105
